sample_set,from,to,presence
J1,Milk_Cadbury_26?,Milk_Cadbury_26?,1
J1,Milk_Cadbury_26?,Milk_Hershey's _30?,1
J1,Milk_Cadbury_26?,Milk_Green & Black's_34,1
J1,Milk_Cadbury_26?,Milk_Endangered Species_48,1
J1,Milk_Cadbury_26?,Dark_Hershey's _45?,0
J1,Milk_Cadbury_26?,Dark_Cadbury_35?,0
J1,Milk_Cadbury_26?,Dark_Pascha_85,0
J1,Milk_Cadbury_26?,Dark_Endangered Species_72,0
J1,Milk_Cadbury_26?,Dark_Green & Black's_70,0
J1,Milk_Cadbury_26?,Dark_Green & Black's_85,0
J1,Milk_Hershey's _30?,Milk_Cadbury_26?,1
J1,Milk_Hershey's _30?,Milk_Hershey's _30?,1
J1,Milk_Hershey's _30?,Milk_Green & Black's_34,1
J1,Milk_Hershey's _30?,Milk_Endangered Species_48,1
J1,Milk_Hershey's _30?,Dark_Hershey's _45?,0
J1,Milk_Hershey's _30?,Dark_Cadbury_35?,0
J1,Milk_Hershey's _30?,Dark_Pascha_85,0
J1,Milk_Hershey's _30?,Dark_Endangered Species_72,0
J1,Milk_Hershey's _30?,Dark_Green & Black's_70,0
J1,Milk_Hershey's _30?,Dark_Green & Black's_85,0
J1,Milk_Green & Black's_34,Milk_Cadbury_26?,1
J1,Milk_Green & Black's_34,Milk_Hershey's _30?,1
J1,Milk_Green & Black's_34,Milk_Green & Black's_34,1
J1,Milk_Green & Black's_34,Milk_Endangered Species_48,1
J1,Milk_Green & Black's_34,Dark_Hershey's _45?,0
J1,Milk_Green & Black's_34,Dark_Cadbury_35?,0
J1,Milk_Green & Black's_34,Dark_Pascha_85,0
J1,Milk_Green & Black's_34,Dark_Endangered Species_72,0
J1,Milk_Green & Black's_34,Dark_Green & Black's_70,0
J1,Milk_Green & Black's_34,Dark_Green & Black's_85,0
J1,Milk_Endangered Species_48,Milk_Cadbury_26?,1
J1,Milk_Endangered Species_48,Milk_Hershey's _30?,1
J1,Milk_Endangered Species_48,Milk_Green & Black's_34,1
J1,Milk_Endangered Species_48,Milk_Endangered Species_48,1
