id,from,to,presence
11-1,192,130,1
11-1,210,130,0
11-1,210,192,0
11-1,461,130,0
11-1,461,192,0
11-1,461,210,0
11-1,564,130,0
11-1,564,192,0
11-1,564,210,0
11-1,564,461,1
11-1,832,130,0
11-1,832,192,0
11-1,832,210,1
11-1,832,461,0
11-1,832,564,0
15-2,192,130,1
15-2,461,130,0
15-2,461,192,0
15-2,769,130,0
15-2,769,192,0
15-2,769,461,0
15-2,832,130,0
15-2,832,192,0
15-2,832,461,1
15-2,832,769,0
15-2,907,130,0
15-2,907,192,1
15-2,907,461,0
15-2,907,769,0
15-2,907,832,0
16-1,210,192,0
16-1,461,192,0
16-1,461,210,0
16-1,564,192,0
16-1,564,210,0
16-1,564,461,1
16-1,832,192,0
16-1,832,210,1
16-1,832,461,0
16-1,832,564,0
16-1,907,192,1
16-1,907,210,0
16-1,907,461,0
16-1,907,564,0
16-1,907,832,0
16-2,311,210,0
16-2,564,210,0
16-2,564,311,0
16-2,695,210,0
16-2,695,311,1
16-2,695,564,0
16-2,769,210,0
16-2,769,311,0
16-2,769,564,1
16-2,769,695,0
16-2,907,210,1
16-2,907,311,0
16-2,907,564,0
16-2,907,695,0
16-2,907,769,0
17-1,311,192,0
17-1,564,192,1
17-1,564,311,0
17-1,695,192,0
17-1,695,311,1
17-1,695,564,0
17-1,769,192,1
17-1,769,311,0
17-1,769,564,1
17-1,769,695,1
17-1,832,192,0
17-1,832,311,0
17-1,832,564,0
17-1,832,695,0
17-1,832,769,0
17-2,192,130,0
17-2,210,130,0
17-2,210,192,0
17-2,311,130,1
17-2,311,192,0
17-2,311,210,0
17-2,564,130,0
17-2,564,192,1
17-2,564,210,0
17-2,564,311,1
17-2,769,130,0
17-2,769,192,1
17-2,769,210,0
17-2,769,311,0
17-2,769,564,1
18-1,311,130,1
18-1,461,130,0
18-1,461,311,0
18-1,564,130,0
18-1,564,311,1
18-1,564,461,0
18-1,769,130,0
18-1,769,311,0
18-1,769,461,1
18-1,769,564,1
18-1,832,130,0
18-1,832,311,0
18-1,832,461,1
18-1,832,564,0
18-1,832,769,0
18-2,311,130,0
18-2,461,130,0
18-2,461,311,0
18-2,564,130,0
18-2,564,311,0
18-2,564,461,1
18-2,695,130,1
18-2,695,311,1
18-2,695,461,0
18-2,695,564,0
18-2,907,130,0
18-2,907,311,0
18-2,907,461,1
18-2,907,564,0
18-2,907,695,0
19-1,210,130,0
19-1,564,130,0
19-1,564,210,1
19-1,695,130,1
19-1,695,210,0
19-1,695,564,0
19-1,769,130,0
19-1,769,210,0
19-1,769,564,0
19-1,769,695,0
19-1,832,130,0
19-1,832,210,0
19-1,832,564,0
19-1,832,695,0
19-1,832,769,1
19-2,311,192,0
19-2,461,192,1
19-2,461,311,0
19-2,695,192,0
19-2,695,311,1
19-2,695,461,0
19-2,769,192,0
19-2,769,311,0
19-2,769,461,0
19-2,769,695,0
19-2,832,192,0
19-2,832,311,0
19-2,832,461,0
19-2,832,695,0
19-2,832,769,1
