sample_set,from,to,presence
T0_R1_z609770187651124,roast degree,roast degree,0
T0_R1_z609770187651124,roast degree,fruity,0
T0_R1_z609770187651124,roast degree,lactic,0
T0_R1_z609770187651124,roast degree,mineral,0
T0_R1_z609770187651124,roast degree,mouth-drying,0
T0_R1_z609770187651124,roast degree,apricot,0
T0_R1_z609770187651124,roast degree,tropical,0
T0_R1_z609770187651124,roast degree,dried,1
T0_R1_z609770187651124,roast degree,floral,0
T0_R1_z609770187651124,roast degree,dark wood,1
T0_R1_z609770187651124,roast degree,dusty,0
T0_R1_z609770187651124,roast degree,musty,0
T0_R1_z609770187651124,roast degree,dirty animal / farmyard,0
T0_R1_z609770187651124,roast degree,leather,0
T0_R1_z609770187651124,roast degree,over-fermented,0
T0_R1_z609770187651124,roast degree,rotten fruit,0
T0_R1_z609770187651124,fruity,roast degree,0
T0_R1_z609770187651124,fruity,fruity,0
T0_R1_z609770187651124,fruity,lactic,0
T0_R1_z609770187651124,fruity,mineral,0
T0_R1_z609770187651124,fruity,mouth-drying,0
T0_R1_z609770187651124,fruity,apricot,1
T0_R1_z609770187651124,fruity,tropical,1
T0_R1_z609770187651124,fruity,dried,0
T0_R1_z609770187651124,fruity,floral,0
T0_R1_z609770187651124,fruity,dark wood,0
T0_R1_z609770187651124,fruity,dusty,0
T0_R1_z609770187651124,fruity,musty,0
T0_R1_z609770187651124,fruity,dirty animal / farmyard,0
T0_R1_z609770187651124,fruity,leather,0
T0_R1_z609770187651124,fruity,over-fermented,0
T0_R1_z609770187651124,fruity,rotten fruit,0
T0_R1_z609770187651124,lactic,roast degree,0
T0_R1_z609770187651124,lactic,fruity,0
T0_R1_z609770187651124,lactic,lactic,0
T0_R1_z609770187651124,lactic,mineral,0
T0_R1_z609770187651124,lactic,mouth-drying,0
T0_R1_z609770187651124,lactic,apricot,0
T0_R1_z609770187651124,lactic,tropical,0
T0_R1_z609770187651124,lactic,dried,0
T0_R1_z609770187651124,lactic,floral,0
T0_R1_z609770187651124,lactic,dark wood,0
T0_R1_z609770187651124,lactic,dusty,1
T0_R1_z609770187651124,lactic,musty,0
T0_R1_z609770187651124,lactic,dirty animal / farmyard,1
T0_R1_z609770187651124,lactic,leather,0
T0_R1_z609770187651124,lactic,over-fermented,0
T0_R1_z609770187651124,lactic,rotten fruit,0
T0_R1_z609770187651124,mineral,roast degree,0
T0_R1_z609770187651124,mineral,fruity,0
T0_R1_z609770187651124,mineral,lactic,0
T0_R1_z609770187651124,mineral,mineral,0
T0_R1_z609770187651124,mineral,mouth-drying,1
T0_R1_z609770187651124,mineral,apricot,0
T0_R1_z609770187651124,mineral,tropical,0
T0_R1_z609770187651124,mineral,dried,1
T0_R1_z609770187651124,mineral,floral,0
T0_R1_z609770187651124,mineral,dark wood,0
T0_R1_z609770187651124,mineral,dusty,0
T0_R1_z609770187651124,mineral,musty,0
T0_R1_z609770187651124,mineral,dirty animal / farmyard,0
T0_R1_z609770187651124,mineral,leather,0
T0_R1_z609770187651124,mineral,over-fermented,0
T0_R1_z609770187651124,mineral,rotten fruit,0
T0_R1_z609770187651124,mouth-drying,roast degree,0
T0_R1_z609770187651124,mouth-drying,fruity,0
T0_R1_z609770187651124,mouth-drying,lactic,0
T0_R1_z609770187651124,mouth-drying,mineral,1
T0_R1_z609770187651124,mouth-drying,mouth-drying,0
T0_R1_z609770187651124,mouth-drying,apricot,0
T0_R1_z609770187651124,mouth-drying,tropical,0
T0_R1_z609770187651124,mouth-drying,dried,1
T0_R1_z609770187651124,mouth-drying,floral,0
T0_R1_z609770187651124,mouth-drying,dark wood,0
T0_R1_z609770187651124,mouth-drying,dusty,0
T0_R1_z609770187651124,mouth-drying,musty,0
T0_R1_z609770187651124,mouth-drying,dirty animal / farmyard,0
T0_R1_z609770187651124,mouth-drying,leather,0
T0_R1_z609770187651124,mouth-drying,over-fermented,1
T0_R1_z609770187651124,mouth-drying,rotten fruit,0
T0_R1_z609770187651124,apricot,roast degree,0
T0_R1_z609770187651124,apricot,fruity,1
T0_R1_z609770187651124,apricot,lactic,0
T0_R1_z609770187651124,apricot,mineral,0
T0_R1_z609770187651124,apricot,mouth-drying,0
T0_R1_z609770187651124,apricot,apricot,0
T0_R1_z609770187651124,apricot,tropical,0
T0_R1_z609770187651124,apricot,dried,0
T0_R1_z609770187651124,apricot,floral,1
T0_R1_z609770187651124,apricot,dark wood,0
T0_R1_z609770187651124,apricot,dusty,0
T0_R1_z609770187651124,apricot,musty,0
T0_R1_z609770187651124,apricot,dirty animal / farmyard,0
T0_R1_z609770187651124,apricot,leather,0
T0_R1_z609770187651124,apricot,over-fermented,0
T0_R1_z609770187651124,apricot,rotten fruit,0
T0_R1_z609770187651124,tropical,roast degree,0
T0_R1_z609770187651124,tropical,fruity,1
T0_R1_z609770187651124,tropical,lactic,0
T0_R1_z609770187651124,tropical,mineral,0
T0_R1_z609770187651124,tropical,mouth-drying,0
T0_R1_z609770187651124,tropical,apricot,0
T0_R1_z609770187651124,tropical,tropical,0
T0_R1_z609770187651124,tropical,dried,0
T0_R1_z609770187651124,tropical,floral,1
T0_R1_z609770187651124,tropical,dark wood,0
T0_R1_z609770187651124,tropical,dusty,0
T0_R1_z609770187651124,tropical,musty,0
T0_R1_z609770187651124,tropical,dirty animal / farmyard,0
T0_R1_z609770187651124,tropical,leather,0
T0_R1_z609770187651124,tropical,over-fermented,0
T0_R1_z609770187651124,tropical,rotten fruit,0
T0_R1_z609770187651124,dried,roast degree,1
T0_R1_z609770187651124,dried,fruity,0
T0_R1_z609770187651124,dried,lactic,0
T0_R1_z609770187651124,dried,mineral,1
T0_R1_z609770187651124,dried,mouth-drying,1
T0_R1_z609770187651124,dried,apricot,0
T0_R1_z609770187651124,dried,tropical,0
T0_R1_z609770187651124,dried,dried,0
T0_R1_z609770187651124,dried,floral,0
T0_R1_z609770187651124,dried,dark wood,1
T0_R1_z609770187651124,dried,dusty,0
T0_R1_z609770187651124,dried,musty,0
T0_R1_z609770187651124,dried,dirty animal / farmyard,0
T0_R1_z609770187651124,dried,leather,0
T0_R1_z609770187651124,dried,over-fermented,0
T0_R1_z609770187651124,dried,rotten fruit,0
T0_R1_z609770187651124,floral,roast degree,0
T0_R1_z609770187651124,floral,fruity,0
T0_R1_z609770187651124,floral,lactic,0
T0_R1_z609770187651124,floral,mineral,0
T0_R1_z609770187651124,floral,mouth-drying,0
T0_R1_z609770187651124,floral,apricot,1
T0_R1_z609770187651124,floral,tropical,1
T0_R1_z609770187651124,floral,dried,0
T0_R1_z609770187651124,floral,floral,0
T0_R1_z609770187651124,floral,dark wood,0
T0_R1_z609770187651124,floral,dusty,0
T0_R1_z609770187651124,floral,musty,0
T0_R1_z609770187651124,floral,dirty animal / farmyard,0
T0_R1_z609770187651124,floral,leather,0
T0_R1_z609770187651124,floral,over-fermented,0
T0_R1_z609770187651124,floral,rotten fruit,0
T0_R1_z609770187651124,dark wood,roast degree,1
T0_R1_z609770187651124,dark wood,fruity,0
T0_R1_z609770187651124,dark wood,lactic,0
T0_R1_z609770187651124,dark wood,mineral,0
T0_R1_z609770187651124,dark wood,mouth-drying,0
T0_R1_z609770187651124,dark wood,apricot,0
T0_R1_z609770187651124,dark wood,tropical,0
T0_R1_z609770187651124,dark wood,dried,1
T0_R1_z609770187651124,dark wood,floral,0
T0_R1_z609770187651124,dark wood,dark wood,0
T0_R1_z609770187651124,dark wood,dusty,0
T0_R1_z609770187651124,dark wood,musty,0
T0_R1_z609770187651124,dark wood,dirty animal / farmyard,0
T0_R1_z609770187651124,dark wood,leather,0
T0_R1_z609770187651124,dark wood,over-fermented,0
T0_R1_z609770187651124,dark wood,rotten fruit,0
T0_R1_z609770187651124,dusty,roast degree,0
T0_R1_z609770187651124,dusty,fruity,0
T0_R1_z609770187651124,dusty,lactic,1
T0_R1_z609770187651124,dusty,mineral,0
T0_R1_z609770187651124,dusty,mouth-drying,0
T0_R1_z609770187651124,dusty,apricot,0
T0_R1_z609770187651124,dusty,tropical,0
T0_R1_z609770187651124,dusty,dried,0
T0_R1_z609770187651124,dusty,floral,0
T0_R1_z609770187651124,dusty,dark wood,0
T0_R1_z609770187651124,dusty,dusty,0
T0_R1_z609770187651124,dusty,musty,1
T0_R1_z609770187651124,dusty,dirty animal / farmyard,0
T0_R1_z609770187651124,dusty,leather,1
T0_R1_z609770187651124,dusty,over-fermented,0
T0_R1_z609770187651124,dusty,rotten fruit,0
T0_R1_z609770187651124,musty,roast degree,0
T0_R1_z609770187651124,musty,fruity,0
T0_R1_z609770187651124,musty,lactic,0
T0_R1_z609770187651124,musty,mineral,0
T0_R1_z609770187651124,musty,mouth-drying,0
T0_R1_z609770187651124,musty,apricot,0
T0_R1_z609770187651124,musty,tropical,0
T0_R1_z609770187651124,musty,dried,0
T0_R1_z609770187651124,musty,floral,0
T0_R1_z609770187651124,musty,dark wood,0
T0_R1_z609770187651124,musty,dusty,1
T0_R1_z609770187651124,musty,musty,0
T0_R1_z609770187651124,musty,dirty animal / farmyard,1
T0_R1_z609770187651124,musty,leather,0
T0_R1_z609770187651124,musty,over-fermented,0
T0_R1_z609770187651124,musty,rotten fruit,0
T0_R1_z609770187651124,dirty animal / farmyard,roast degree,0
T0_R1_z609770187651124,dirty animal / farmyard,fruity,0
T0_R1_z609770187651124,dirty animal / farmyard,lactic,1
T0_R1_z609770187651124,dirty animal / farmyard,mineral,0
T0_R1_z609770187651124,dirty animal / farmyard,mouth-drying,0
T0_R1_z609770187651124,dirty animal / farmyard,apricot,0
T0_R1_z609770187651124,dirty animal / farmyard,tropical,0
T0_R1_z609770187651124,dirty animal / farmyard,dried,0
T0_R1_z609770187651124,dirty animal / farmyard,floral,0
T0_R1_z609770187651124,dirty animal / farmyard,dark wood,0
T0_R1_z609770187651124,dirty animal / farmyard,dusty,0
T0_R1_z609770187651124,dirty animal / farmyard,musty,1
T0_R1_z609770187651124,dirty animal / farmyard,dirty animal / farmyard,0
T0_R1_z609770187651124,dirty animal / farmyard,leather,1
T0_R1_z609770187651124,dirty animal / farmyard,over-fermented,0
T0_R1_z609770187651124,dirty animal / farmyard,rotten fruit,0
T0_R1_z609770187651124,leather,roast degree,0
T0_R1_z609770187651124,leather,fruity,0
T0_R1_z609770187651124,leather,lactic,0
T0_R1_z609770187651124,leather,mineral,0
T0_R1_z609770187651124,leather,mouth-drying,0
T0_R1_z609770187651124,leather,apricot,0
T0_R1_z609770187651124,leather,tropical,0
T0_R1_z609770187651124,leather,dried,0
T0_R1_z609770187651124,leather,floral,0
T0_R1_z609770187651124,leather,dark wood,0
T0_R1_z609770187651124,leather,dusty,1
T0_R1_z609770187651124,leather,musty,0
T0_R1_z609770187651124,leather,dirty animal / farmyard,1
T0_R1_z609770187651124,leather,leather,0
T0_R1_z609770187651124,leather,over-fermented,0
T0_R1_z609770187651124,leather,rotten fruit,0
T0_R1_z609770187651124,over-fermented,roast degree,0
T0_R1_z609770187651124,over-fermented,fruity,0
T0_R1_z609770187651124,over-fermented,lactic,0
T0_R1_z609770187651124,over-fermented,mineral,0
T0_R1_z609770187651124,over-fermented,mouth-drying,1
T0_R1_z609770187651124,over-fermented,apricot,0
T0_R1_z609770187651124,over-fermented,tropical,0
T0_R1_z609770187651124,over-fermented,dried,0
T0_R1_z609770187651124,over-fermented,floral,0
T0_R1_z609770187651124,over-fermented,dark wood,0
T0_R1_z609770187651124,over-fermented,dusty,0
T0_R1_z609770187651124,over-fermented,musty,0
T0_R1_z609770187651124,over-fermented,dirty animal / farmyard,0
T0_R1_z609770187651124,over-fermented,leather,0
T0_R1_z609770187651124,over-fermented,over-fermented,0
T0_R1_z609770187651124,over-fermented,rotten fruit,1
T0_R1_z609770187651124,rotten fruit,roast degree,0
T0_R1_z609770187651124,rotten fruit,fruity,0
T0_R1_z609770187651124,rotten fruit,lactic,0
T0_R1_z609770187651124,rotten fruit,mineral,0
T0_R1_z609770187651124,rotten fruit,mouth-drying,0
T0_R1_z609770187651124,rotten fruit,apricot,0
T0_R1_z609770187651124,rotten fruit,tropical,0
T0_R1_z609770187651124,rotten fruit,dried,0
T0_R1_z609770187651124,rotten fruit,floral,0
T0_R1_z609770187651124,rotten fruit,dark wood,0
T0_R1_z609770187651124,rotten fruit,dusty,0
T0_R1_z609770187651124,rotten fruit,musty,0
T0_R1_z609770187651124,rotten fruit,dirty animal / farmyard,0
T0_R1_z609770187651124,rotten fruit,leather,0
T0_R1_z609770187651124,rotten fruit,over-fermented,1
T0_R1_z609770187651124,rotten fruit,rotten fruit,0
T0_R2_z609770187651124,berry,berry,0
T0_R2_z609770187651124,berry,citrus,1
T0_R2_z609770187651124,berry,tropical,1
T0_R2_z609770187651124,berry,brown,0
T0_R2_z609770187651124,berry,mushroom,0
T0_R2_z609770187651124,berry,flowers,1
T0_R2_z609770187651124,berry,resin,0
T0_R2_z609770187651124,berry,dark wood,0
T0_R2_z609770187651124,berry,spice,0
T0_R2_z609770187651124,berry,spices,0
T0_R2_z609770187651124,berry,nut flesh,1
T0_R2_z609770187651124,berry,caramel,0
T0_R2_z609770187651124,berry,brown sugar,0
T0_R2_z609770187651124,berry,dirty,0
T0_R2_z609770187651124,berry,rotten fruit,0
