sample_set,from,to,presence
1_2,tropical,tropical,1
1_2,tropical,fruity,1
1_2,tropical,apricot,1
1_2,tropical,dried,0
1_2,tropical,floral,0
1_2,tropical,rotten fruit,0
1_2,tropical,over-fermented,0
1_2,tropical,mouth-drying,0
1_2,tropical,dirty animal / farmyard,0
1_2,tropical,musty,0
1_2,tropical,dusty,0
1_2,tropical,roast degree,0
1_2,tropical,leather,0
1_2,tropical,dark wood,0
1_2,tropical,lactic,0
1_2,tropical,mineral,0
1_2,fruity,tropical,1
1_2,fruity,fruity,1
1_2,fruity,apricot,1
1_2,fruity,dried,0
1_2,fruity,floral,0
1_2,fruity,rotten fruit,0
1_2,fruity,over-fermented,0
1_2,fruity,mouth-drying,0
1_2,fruity,dirty animal / farmyard,0
1_2,fruity,musty,0
1_2,fruity,dusty,0
1_2,fruity,roast degree,0
1_2,fruity,leather,0
1_2,fruity,dark wood,0
1_2,fruity,lactic,0
1_2,fruity,mineral,0
1_2,apricot,tropical,1
1_2,apricot,fruity,1
1_2,apricot,apricot,1
1_2,apricot,dried,0
1_2,apricot,floral,0
1_2,apricot,rotten fruit,0
1_2,apricot,over-fermented,0
1_2,apricot,mouth-drying,0
1_2,apricot,dirty animal / farmyard,0
1_2,apricot,musty,0
1_2,apricot,dusty,0
1_2,apricot,roast degree,0
1_2,apricot,leather,0
1_2,apricot,dark wood,0
1_2,apricot,lactic,0
1_2,apricot,mineral,0
1_2,dried,tropical,0
1_2,dried,fruity,0
1_2,dried,apricot,0
1_2,dried,dried,1
1_2,dried,floral,1
1_2,dried,rotten fruit,0
1_2,dried,over-fermented,0
1_2,dried,mouth-drying,0
1_2,dried,dirty animal / farmyard,0
1_2,dried,musty,0
1_2,dried,dusty,0
1_2,dried,roast degree,0
1_2,dried,leather,0
1_2,dried,dark wood,0
1_2,dried,lactic,0
1_2,dried,mineral,0
1_2,floral,tropical,0
1_2,floral,fruity,0
1_2,floral,apricot,0
1_2,floral,dried,1
1_2,floral,floral,1
1_2,floral,rotten fruit,0
1_2,floral,over-fermented,0
1_2,floral,mouth-drying,0
1_2,floral,dirty animal / farmyard,0
1_2,floral,musty,0
1_2,floral,dusty,0
1_2,floral,roast degree,0
1_2,floral,leather,0
1_2,floral,dark wood,0
1_2,floral,lactic,0
1_2,floral,mineral,0
1_2,rotten fruit,tropical,0
1_2,rotten fruit,fruity,0
1_2,rotten fruit,apricot,0
1_2,rotten fruit,dried,0
1_2,rotten fruit,floral,0
1_2,rotten fruit,rotten fruit,1
1_2,rotten fruit,over-fermented,1
1_2,rotten fruit,mouth-drying,1
1_2,rotten fruit,dirty animal / farmyard,1
1_2,rotten fruit,musty,1
1_2,rotten fruit,dusty,1
1_2,rotten fruit,roast degree,0
1_2,rotten fruit,leather,0
1_2,rotten fruit,dark wood,0
1_2,rotten fruit,lactic,0
1_2,rotten fruit,mineral,0
1_2,over-fermented,tropical,0
1_2,over-fermented,fruity,0
1_2,over-fermented,apricot,0
1_2,over-fermented,dried,0
1_2,over-fermented,floral,0
1_2,over-fermented,rotten fruit,1
1_2,over-fermented,over-fermented,1
1_2,over-fermented,mouth-drying,1
1_2,over-fermented,dirty animal / farmyard,1
1_2,over-fermented,musty,1
1_2,over-fermented,dusty,1
1_2,over-fermented,roast degree,0
1_2,over-fermented,leather,0
1_2,over-fermented,dark wood,0
1_2,over-fermented,lactic,0
1_2,over-fermented,mineral,0
1_2,mouth-drying,tropical,0
1_2,mouth-drying,fruity,0
1_2,mouth-drying,apricot,0
1_2,mouth-drying,dried,0
1_2,mouth-drying,floral,0
1_2,mouth-drying,rotten fruit,1
1_2,mouth-drying,over-fermented,1
1_2,mouth-drying,mouth-drying,1
1_2,mouth-drying,dirty animal / farmyard,1
1_2,mouth-drying,musty,1
1_2,mouth-drying,dusty,1
1_2,mouth-drying,roast degree,0
1_2,mouth-drying,leather,0
1_2,mouth-drying,dark wood,0
1_2,mouth-drying,lactic,0
1_2,mouth-drying,mineral,0
1_2,dirty animal / farmyard,tropical,0
1_2,dirty animal / farmyard,fruity,0
1_2,dirty animal / farmyard,apricot,0
1_2,dirty animal / farmyard,dried,0
1_2,dirty animal / farmyard,floral,0
1_2,dirty animal / farmyard,rotten fruit,1
1_2,dirty animal / farmyard,over-fermented,1
1_2,dirty animal / farmyard,mouth-drying,1
1_2,dirty animal / farmyard,dirty animal / farmyard,1
1_2,dirty animal / farmyard,musty,1
1_2,dirty animal / farmyard,dusty,1
1_2,dirty animal / farmyard,roast degree,0
1_2,dirty animal / farmyard,leather,0
1_2,dirty animal / farmyard,dark wood,0
1_2,dirty animal / farmyard,lactic,0
1_2,dirty animal / farmyard,mineral,0
1_2,musty,tropical,0
1_2,musty,fruity,0
1_2,musty,apricot,0
1_2,musty,dried,0
1_2,musty,floral,0
1_2,musty,rotten fruit,1
1_2,musty,over-fermented,1
1_2,musty,mouth-drying,1
1_2,musty,dirty animal / farmyard,1
1_2,musty,musty,1
1_2,musty,dusty,1
1_2,musty,roast degree,0
1_2,musty,leather,0
1_2,musty,dark wood,0
1_2,musty,lactic,0
1_2,musty,mineral,0
1_2,dusty,tropical,0
1_2,dusty,fruity,0
1_2,dusty,apricot,0
1_2,dusty,dried,0
1_2,dusty,floral,0
1_2,dusty,rotten fruit,1
1_2,dusty,over-fermented,1
1_2,dusty,mouth-drying,1
1_2,dusty,dirty animal / farmyard,1
1_2,dusty,musty,1
1_2,dusty,dusty,1
1_2,dusty,roast degree,0
1_2,dusty,leather,0
1_2,dusty,dark wood,0
1_2,dusty,lactic,0
1_2,dusty,mineral,0
1_2,roast degree,tropical,0
1_2,roast degree,fruity,0
1_2,roast degree,apricot,0
1_2,roast degree,dried,0
1_2,roast degree,floral,0
1_2,roast degree,rotten fruit,0
1_2,roast degree,over-fermented,0
1_2,roast degree,mouth-drying,0
1_2,roast degree,dirty animal / farmyard,0
1_2,roast degree,musty,0
1_2,roast degree,dusty,0
1_2,roast degree,roast degree,1
1_2,roast degree,leather,0
1_2,roast degree,dark wood,0
1_2,roast degree,lactic,0
1_2,roast degree,mineral,0
1_2,leather,tropical,0
1_2,leather,fruity,0
1_2,leather,apricot,0
1_2,leather,dried,0
1_2,leather,floral,0
1_2,leather,rotten fruit,0
1_2,leather,over-fermented,0
1_2,leather,mouth-drying,0
1_2,leather,dirty animal / farmyard,0
1_2,leather,musty,0
1_2,leather,dusty,0
1_2,leather,roast degree,0
1_2,leather,leather,1
1_2,leather,dark wood,1
1_2,leather,lactic,0
1_2,leather,mineral,0
1_2,dark wood,tropical,0
1_2,dark wood,fruity,0
1_2,dark wood,apricot,0
1_2,dark wood,dried,0
1_2,dark wood,floral,0
1_2,dark wood,rotten fruit,0
1_2,dark wood,over-fermented,0
1_2,dark wood,mouth-drying,0
1_2,dark wood,dirty animal / farmyard,0
1_2,dark wood,musty,0
1_2,dark wood,dusty,0
1_2,dark wood,roast degree,0
1_2,dark wood,leather,1
1_2,dark wood,dark wood,1
1_2,dark wood,lactic,0
1_2,dark wood,mineral,0
1_2,lactic,tropical,0
1_2,lactic,fruity,0
1_2,lactic,apricot,0
1_2,lactic,dried,0
1_2,lactic,floral,0
1_2,lactic,rotten fruit,0
1_2,lactic,over-fermented,0
1_2,lactic,mouth-drying,0
1_2,lactic,dirty animal / farmyard,0
1_2,lactic,musty,0
1_2,lactic,dusty,0
1_2,lactic,roast degree,0
1_2,lactic,leather,0
1_2,lactic,dark wood,0
1_2,lactic,lactic,1
1_2,lactic,mineral,1
1_2,mineral,tropical,0
1_2,mineral,fruity,0
1_2,mineral,apricot,0
1_2,mineral,dried,0
1_2,mineral,floral,0
1_2,mineral,rotten fruit,0
1_2,mineral,over-fermented,0
1_2,mineral,mouth-drying,0
1_2,mineral,dirty animal / farmyard,0
1_2,mineral,musty,0
1_2,mineral,dusty,0
1_2,mineral,roast degree,0
1_2,mineral,leather,0
1_2,mineral,dark wood,0
1_2,mineral,lactic,1
1_2,mineral,mineral,1
2_2,tobacco,tobacco,1
2_2,tobacco,mineral,1
2_2,tobacco,mouth-drying,1
2_2,tobacco,spice,1
2_2,tobacco,smoky,1
2_2,tobacco,savory,1
2_2,tobacco,total acidity,0
2_2,tobacco,over-fermented,0
2_2,tobacco,off-flavors,0
2_2,tobacco,mouldy,0
2_2,tobacco,musty,0
2_2,tobacco,caramelized sugar,0
2_2,tobacco,caramel,0
2_2,tobacco,flowers,0
2_2,tobacco,sweetness,0
2_2,tobacco,peach,0
2_2,mineral,tobacco,1
2_2,mineral,mineral,1
2_2,mineral,mouth-drying,1
2_2,mineral,spice,1
