X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
1,4,6,7,10,16,18,20,23,35,52,53,56,57,58,59
3,7,10,15,32,37,38,40,45,46,49,50,53,54,58,62
9,10,15,22,23,28,34,35,36,38,39,40,41,47,50,52
5,7,11,14,16,18,22,28,29,33,35,50,55,58,60,62
1,3,4,7,13,19,27,28,30,31,39,43,46,52,54,61
3,6,12,15,16,20,22,24,25,30,40,46,47,49,51,57
3,5,10,13,18,23,27,29,30,39,42,48,49,58,59,62
10,15,16,18,24,25,27,28,29,31,36,37,49,50,52,61
2,5,11,20,21,23,24,31,32,34,38,40,44,45,58,61
6,7,12,13,14,16,17,20,21,25,29,38,40,48,52,60
1,2,4,9,20,25,27,30,33,37,40,51,52,55,58,60
3,13,16,23,26,29,32,33,35,40,47,48,50,57,61,62
7,13,17,25,26,27,38,41,44,49,53,54,55,57,60,62
2,7,8,15,20,26,28,29,31,33,41,42,46,57,59,60
1,5,7,10,14,21,27,35,36,40,41,43,47,48,53,59
1,3,9,11,13,14,15,28,29,30,38,42,45,53,56,57
1,3,6,8,11,17,19,21,24,28,35,37,48,58,59,60
4,7,9,10,18,19,23,25,31,32,37,38,42,47,54,57
1,16,19,24,25,29,31,32,39,41,42,44,47,51,53,55
5,7,8,9,12,13,15,20,22,25,39,43,44,59,61,62
5,17,18,19,22,26,27,30,31,40,41,48,49,53,60,61
13,15,21,25,33,36,38,41,43,44,46,48,56,57,58,60
1,2,8,10,12,17,30,32,34,36,39,44,50,52,57,58
2,10,11,19,25,27,28,33,35,40,44,45,49,54,57,59
1,2,17,23,24,25,26,29,33,35,37,39,40,43,46,53
8,9,14,18,21,24,26,32,33,40,42,43,52,54,57,58
2,4,12,13,19,22,28,32,33,36,45,48,51,53,58,61
2,3,4,5,7,9,14,21,23,29,35,42,44,46,49,51
2,9,17,18,25,28,30,34,43,45,47,49,50,55,58,59
2,8,12,14,16,23,28,37,47,49,53,54,56,60,61,62
2,3,14,20,27,30,31,32,37,42,43,47,48,50,60,62
12,13,18,21,28,32,34,35,37,41,44,46,47,51,59,60
